reading_id,aircraft_id,event_ts,event_date,engine_pos,phase_of_flight,altitude_ft,ias_kts,egt_c,n1_pct,fuel_flow_kg_h,vib_ips
VR100040,A00008,2025-02-01T11:20:00Z,2025-02-01 11:20:00,2,CRUISE,380450,260,541.6,74.1,1659.9,0.104
VR100041,A00007,2025-02-01T11:22:00Z,2025-02-01 11:22:00,1,TAKEOFF,1010,167,879.0,96.2,4380.8,0.53
VR100042,A00009,2025-02-01T11:24:00Z,2025-02-01 11:24:00,2,TAKEOFF,646,143,557.5,28.8,3345.9,1.51
VR100043,A00022,2025-02-01T11:26:00Z,2025-02-01 11:26:00,1,CRUISE,34554,293,790.7,63.4,4973.3,1.709
VR100044,A00010,2025-02-01T11:28:00Z,2025-02-01 11:28:00,1,APPROACH,1208,160,745.6,61.7,806.8,2.075
VR100045,A00011,2025-02-01T11:30:00Z,2025-02-01 11:30:00,1,TAXI,93,27,776.9,82.0,3796.2,1.68
VR100046,A00022,2025-02-01T11:32:00Z,2025-02-01 11:32:00,2,CRUISE,38739,298,679.9,36.7,3606.5,2.451
VR100047,A00022,2025-02-01T11:34:00Z,2025-02-01 11:34:00,1,TAXI,119,27,945.3,47.8,3464.6,0.857
VR100048,A00006,2025-02-01T11:36:00Z,2025-02-01 11:36:00,2,APPROACH,2819,141,333.0,25.9,3133.8,2.396
VR100049,A00009,2025-02-01T11:38:00Z,2025-02-01 11:38:00,2,PARKED,34,0,318.7,57.8,3201.7,1.08
VR100050,A00011,2025-02-01T11:40:00Z,2025-02-01 11:40:00,2,LANDING,370,144,405.5,81.8,2263.4,1.331
VR100050,A00011,2025-02-01T11:40:00Z,2025-02-01 11:40:00,2,LANDING,370,144,405.5,81.8,2263.4,1.111
VR100051,A00023,2025-02-01T11:42:00Z,2025-02-01 11:42:00,2,TAXI,171,20,833.2,34.8,2791.6,1.234
VR100052,A00011,2025-02-01T11:44:00Z,2025-02-01 11:44:00,1,PARKED,0,0,865.4,72.1,3872.8,2.257
VR100053,A00023,2025-02-01T11:46:00Z,2025-02-01 11:46:00,2,APPROACH,2316,161,771.4,91.7,2437.5,0.525
VR100054,A00022,2025-02-01T11:48:00Z,2025-02-01 11:48:00,1,LANDING,391,136,467.8,70.2,4168.6,0.363
VR100055,A00016,2025-02-01T11:50:00Z,2025-02-01 11:50:00,2,TAKEOFF,1284,152,314.6,43.2,1530.5,1.296
VR100056,A00023,2025-02-01T11:52:00Z,2025-02-01 11:52:00,2,APPROACH,2604,180,739.8,34.6,2681.5,0.699
VR100057,A00017,2025-02-01T11:54:00Z,2025-02-01 11:54:00,1,DESCENT,24898,644,503.2,67.0,4268.9,0.92
VR100058,A00003,2025-02-01T11:56:00Z,2025-02-01 11:56:00,2,PARKED,34,0,886.0,62.7,1299.4,0.302
VR100059,A00019,2025-02-01T11:58:00Z,2025-02-01 11:58:00,1,TAXI,18,16,532.9,28.3,4066.1,1.5
VR100060,A00022,2025-02-01T12:00:00Z,2025-02-01 12:00:00,1,TAXI,164,11,426.6,33.8,3858.5,0.541
VR100061,A00019,2025-02-01T12:02:00Z,2025-02-01 12:02:00,2,PARKED,62,0,327.1,92.9,2729.5,0.547
VR100062,A00007,2025-02-01T12:04:00Z,2025-02-01 12:04:00,1,DESCENT,12167,257,901.5,62.3,1402.3,0.841
VR100063,A00007,2025-02-01T12:06:00Z,2025-02-01 12:06:00,1,TAKEOFF,18,148,386.6,72.7,1439.3,1.22
VR100064,A00013,2025-02-01T12:08:00Z,2025-02-01 12:08:00,2,DESCENT,4297,260,356.2,70.7,1381.9,2.402
VR100065,A00013,2025-02-01T12:10:00Z,2025-02-01 12:10:00,2,CRUISE,39628,254,632.8,44.5,741.8,0.926
VR100066,A00022,2025-02-01T12:12:00Z,2025-02-01 12:12:00,2,DESCENT,12370,256,895.4,76.8,1332.9,0.999
VR100067,A00016,2025-02-01T12:14:00Z,2025-02-01 12:14:00,2,CLIMB,12976,277,358.0,37.3,4865.9,1.85
VR100068,A00016,2025-02-01T12:16:00Z,2025-02-01 12:16:00,1,CRUISE,34979,251,301.6,59.4,2765.2,1.961
VR100069,A00014,2025-02-01T12:18:00Z,2025-02-01 12:18:00,2,DESCENT,20326,293,484.7,81.4,4583.3,1.513
VR100070,A00012,2025-02-01T12:20:00Z,2025-02-01 12:20:00,1,CRUISE,34500,264,608.4,49.9,3294.5,0.837
VR100071,A00010,2025-02-01T12:22:00Z,2025-02-01 12:22:00,1,PARKED,51,0,479.1,90.6,3412.3,1.789
VR100072,A00018,2025-02-01T12:24:00Z,2025-02-01 12:24:00,2,TAKEOFF,142,164,571.7,83.1,361.4,1.428
VR100073,A00008,2025-02-01T12:26:00Z,2025-02-01 12:26:00,1,CRUISE,34049,287,838.7,69.0,4427.7,2.364
VR100074,A00017,2025-02-01T12:28:00Z,2025-02-01 12:28:00,1,TAXI,121,9,845.4,31.0,948.3,0.78
VR100075,A00019,2025-02-01T12:30:00Z,2025-02-01 12:30:00,1,TAKEOFF,688,157,544.2,44.0,651.0,2.396
VR100076,A00016,2025-02-01T12:32:00Z,2025-02-01 12:32:00,2,CLIMB,11166,272,821.3,57.9,2500.0,1.528
VR100077,A00021,2025-02-01T12:34:00Z,2025-02-01 12:34:00,2,APPROACH,1499,135,452.1,97.0,3449.2,2.341
VR100078,A00012,2025-02-01T12:36:00Z,2025-02-01 12:36:00,2,CLIMB,29199,262,595.0,41.4,4106.7,0.135
VR100079,A00006,2025-02-01T12:38:00Z,2025-02-01 12:38:00,1,LANDING,212,127,569.5,28.4,4842.7,1.942
VR100080,A00015,2025-02-01T12:40:00Z,2025-02-01 12:40:00,2,PARKED,78,0,911.4,95.1,4742.3,0.536
VR100081,A00021,2025-02-01T12:42:00Z,2025-02-01 12:42:00,2,APPROACH,1637,174,395.4,28.1,3768.4,0.752
VR100082,A00012,2025-02-01T12:44:00Z,2025-02-01 12:44:00,2,DESCENT,24805,315,623.5,61.2,3598.0,0.877
VR100083,A00023,2025-02-01T12:46:00Z,2025-02-01 12:46:00,2,TAXI,71,14,469.9,26.8,2689.9,1.001
VR100084,A00005,2025-02-01T12:48:00Z,2025-02-01 12:48:00,2,DESCENT,11916,630,751.6,45.4,4717.9,0.669
VR100085,A00005,2025-02-01T12:50:00Z,2025-02-01 12:50:00,2,CLIMB,25530,256,625.7,99.3,3704.0,1.576
VR100086,A00018,2025-02-01T12:52:00Z,2025-02-01 12:52:00,1,APPROACH,979,147,767.1,53.3,1833.6,1.926
VR100087,A00011,2025-02-01T12:54:00Z,2025-02-01 12:54:00,1,APPROACH,2000,167,685.6,74.9,3704.7,2.297
VR100088,A00014,2025-02-01T12:56:00Z,2025-02-01 12:56:00,1,CLIMB,18769,317,710.4,34.5,3413.2,2.091
VR100089,A00017,2025-02-01T12:58:00Z,2025-02-01 12:58:00,2,CRUISE,39636,260,359.0,99.1,3705.5,7.02
VR100090,A00005,2025-02-01T13:00:00Z,2025-02-01 13:00:00,1,TAKEOFF,1317,168,314.1,64.5,583.1,1.096
VR100091,A00012,2025-02-01T13:02:00Z,2025-02-01 13:02:00,1,CRUISE,35840,269,313.2,68.3,966.8,1.076
VR100092,A00023,2025-02-01T13:04:00Z,2025-02-01 13:04:00,2,DESCENT,7013,314,931.6,86.4,2673.0,1.667
VR100093,A00023,2025-02-01T13:06:00Z,2025-02-01 13:06:00,1,CRUISE,38568,267,441.3,33.1,941.4,2.423
VR100094,A00008,2025-02-01T13:08:00Z,2025-02-01 13:08:00,2,CRUISE,346310,287,593.9,22.1,3644.0,1.049
VR100095,A00012,2025-02-01T13:10:00Z,2025-02-01 13:10:00,2,LANDING,62,128,863.9,50.9,606.9,2.258
VR100096,A00023,2025-02-01T13:12:00Z,2025-02-01 13:12:00,1,PARKED,59,0,773.5,73.4,3566.9,1.985
VR100097,A00019,2025-02-01T13:14:00Z,2025-02-01 13:14:00,2,CRUISE,31613,274,848.7,96.3,4310.4,0.736
VR100098,A00004,2025-02-01T13:16:00Z,2025-02-01 13:16:00,1,TAKEOFF,938,148,433.9,66.5,2021.9,1.056
VR100099,A00023,2025-02-01T13:18:00Z,2025-02-01 13:18:00,2,DESCENT,11603,292,648.4,87.6,4042.0,1.103
VR100100,A00008,2025-02-01T13:20:00Z,2025-02-01 13:20:00,2,CLIMB,29740,290,689.7,97.8,2442.9,2.408
VR100101,A00018,2025-02-01T13:22:00Z,2025-02-01 13:22:00,2,PARKED,76,0,810.7,91.4,1443.8,1.631
VR100102,A00009,2025-02-01T13:24:00Z,2025-02-01 13:24:00,1,PARKED,33,0,315.6,81.7,222.1,2.209
VR100103,A00012,2025-02-01T13:26:00Z,2025-02-01 13:26:00,1,CLIMB,26891,284,736.4,49.0,2778.5,1.977
VR100104,A00009,2025-02-01T13:28:00Z,2025-02-01 13:28:00,1,DESCENT,25905,264,780.0,70.9,4671.9,0.428
VR100105,A00007,2025-02-01T13:30:00Z,2025-02-01 13:30:00,2,PARKED,22,0,468.3,70.7,686.0,0.688
VR100106,A00018,2025-02-01T13:32:00Z,2025-02-01 13:32:00,2,CRUISE,35608,272,405.5,65.2,2468.1,2.124
VR100107,A00008,2025-02-01T13:34:00Z,2025-02-01 13:34:00,2,CRUISE,34851,283,490.4,53.1,2233.6,2.351
VR100108,A00016,2025-02-01T13:36:00Z,2025-02-01 13:36:00,2,LANDING,403,150,598.2,21.9,4033.3,2.235
VR100109,A00013,2025-02-01T13:38:00Z,2025-02-01 13:38:00,2,CLIMB,2981,251,614.4,22.3,2930.5,1.838
VR100110,A00005,2025-02-01T13:40:00Z,2025-02-01 13:40:00,2,LANDING,368,148,883.6,71.9,2459.3,1.923
VR100111,A00006,2025-02-01T13:42:00Z,2025-02-01 13:42:00,2,TAKEOFF,664,141,804.3,42.4,4322.1,2.059
VR100112,A00002,2025-02-01T13:44:00Z,2025-02-01 13:44:00,2,PARKED,39,0,776.9,79.3,4058.5,0.438
VR100113,A00008,2025-02-01T13:46:00Z,2025-02-01 13:46:00,1,CRUISE,342200,271,444.9,56.0,3464.9,0.281
VR100114,A00003,2025-02-01T13:48:00Z,2025-02-01 13:48:00,2,APPROACH,2142,164,930.6,39.2,3865.2,0.351
VR100115,A00007,2025-02-01T13:50:00Z,2025-02-01 13:50:00,2,PARKED,94,0,349.0,63.0,2239.3,2.118
VR100116,A00005,2025-02-01T13:52:00Z,2025-02-01 13:52:00,2,APPROACH,1333,157,590.8,36.4,2423.8,1.983
VR100117,A00006,2025-02-01T13:54:00Z,2025-02-01 13:54:00,1,DESCENT,22439,282,468.4,82.2,2029.1,2.365
VR100118,A00014,2025-02-01T13:56:00Z,2025-02-01 13:56:00,1,PARKED,77,0,823.9,39.6,1239.6,0.6
VR100119,A00022,2025-02-01T13:58:00Z,2025-02-01 13:58:00,1,DESCENT,27332,308,875.8,63.6,4654.7,1.551
VR100120,A00001,2025-02-01T14:00:00Z,2025-02-01 14:00:00,2,DESCENT,10362,292,319.8,40.7,1150.3,2.481
VR100121,A00007,2025-02-01T14:02:00Z,2025-02-01 14:02:00,1,DESCENT,27694,315,340.9,79.8,4497.5,2.37
VR100122,A00005,2025-02-01T14:04:00Z,2025-02-01 14:04:00,2,CLIMB,14006,611,650.2,32.4,394.6,0.838
VR100123,A00003,2025-02-01T14:06:00Z,2025-02-01 14:06:00,1,CRUISE,31653,293,310.2,88.1,289.8,0.687
VR100124,A00004,2025-02-01T14:08:00Z,2025-02-01 14:08:00,2,TAKEOFF,619,161,592.7,87.3,2963.3,0.955
VR100125,A00019,2025-02-01T14:10:00Z,2025-02-01 14:10:00,2,CRUISE,38819,294,316.6,28.5,2003.3,1.894
VR100126,A00007,2025-02-01T14:12:00Z,2025-02-01 14:12:00,2,TAXI,196,29,797.7,78.1,1724.6,1.902
VR100127,A00009,2025-02-01T14:14:00Z,2025-02-01 14:14:00,1,CRUISE,35385,726,569.9,26.3,1101.6,1.862
VR100128,A00014,2025-02-01T14:16:00Z,2025-02-01 14:16:00,2,CLIMB,19461,306,816.2,45.7,381.0,0.726
VR100129,A00010,2025-02-01T14:18:00Z,2025-02-01 14:18:00,1,APPROACH,739,161,306.4,87.2,3044.3,0.434
VR100130,A00016,2025-02-01T14:20:00Z,2025-02-01 14:20:00,1,DESCENT,25201,265,374.8,70.1,4681.5,0.704
VR100131,A00017,2025-02-01T14:22:00Z,2025-02-01 14:22:00,1,LANDING,194,124,310.3,86.4,273.0,1.364
VR100132,A00023,2025-02-01T14:24:00Z,2025-02-01 14:24:00,2,CLIMB,3401,310,820.4,70.4,1917.3,2.296
VR100133,A00019,2025-02-01T14:26:00Z,2025-02-01 14:26:00,1,TAXI,30,8,641.1,73.5,4784.9,0.439
VR100134,A00013,2025-02-01T14:28:00Z,2025-02-01 14:28:00,2,CRUISE,30324,262,580.2,73.3,4607.0,0.984
VR100135,A00003,2025-02-01T14:30:00Z,2025-02-01 14:30:00,2,DESCENT,16471,300,639.5,30.5,3920.7,0.211
VR100136,A00017,2025-02-01T14:32:00Z,2025-02-01 14:32:00,1,CRUISE,33945,283,519.4,47.4,2105.6,0.967
VR100137,A00021,2025-02-01T14:34:00Z,2025-02-01 14:34:00,2,CLIMB,13996,302,756.3,40.9,2813.8,1.155
VR100138,A00015,2025-02-01T14:36:00Z,2025-02-01 14:36:00,1,DESCENT,20220,308,362.4,92.1,3314.3,1.773
VR100139,A00012,2025-02-01T14:38:00Z,2025-02-01 14:38:00,1,TAKEOFF,1282,157,493.6,46.9,1928.2,1.138
VR100140,A00016,2025-02-01T14:40:00Z,2025-02-01 14:40:00,2,PARKED,36,0,563.8,32.7,4505.7,1.877
VR100141,A00004,2025-02-01T14:42:00Z,2025-02-01 14:42:00,2,TAXI,185,11,786.9,71.4,4279.4,0.291
VR100142,A00016,2025-02-01T14:44:00Z,2025-02-01 14:44:00,2,DESCENT,13760,253,631.9,28.5,3574.8,0.431
VR100143,A00005,2025-02-01T14:46:00Z,2025-02-01 14:46:00,2,TAXI,75,16,761.0,43.0,1207.5,0.86
VR100144,A00004,2025-02-01T14:48:00Z,2025-02-01 14:48:00,2,DESCENT,4118,299,706.2,39.9,3801.5,0.675
VR100145,A00009,2025-02-01T14:50:00Z,2025-02-01 14:50:00,2,TAKEOFF,418,146,428.4,38.4,1046.0,1.072
VR100146,A00021,2025-02-01T14:52:00Z,2025-02-01 14:52:00,1,PARKED,57,0,522.7,66.6,4547.3,1.134
VR100147,A00018,2025-02-01T14:54:00Z,2025-02-01 14:54:00,1,DESCENT,7742,260,530.7,29.3,2953.3,2.047
VR100148,A00016,2025-02-01T14:56:00Z,2025-02-01 14:56:00,1,TAKEOFF,217,156,841.6,42.4,3165.3,1.116
VR100149,A00007,2025-02-01T14:58:00Z,2025-02-01 14:58:00,2,LANDING,9,138,450.5,23.0,3008.8,0.233
VR100150,A00009,2025-02-01T15:00:00Z,2025-02-01 15:00:00,1,CLIMB,13985,308,863.7,92.6,4201.6,2.017
VR100151,A00017,2025-02-01T15:02:00Z,2025-02-01 15:02:00,1,CRUISE,36573,273,310.7,27.4,2125.8,2.042
VR100152,A00015,2025-02-01T15:04:00Z,2025-02-01 15:04:00,2,LANDING,55,142,923.0,92.6,1895.8,1.849
VR100153,A00010,2025-02-01T15:06:00Z,2025-02-01 15:06:00,2,TAXI,148,10,739.6,25.0,4478.1,0.128
VR100154,A00015,2025-02-01T15:08:00Z,2025-02-01 15:08:00,2,PARKED,2,0,758.0,73.9,2387.1,0.475
VR100155,A00018,2025-02-01T15:10:00Z,2025-02-01 15:10:00,1,CRUISE,30777,268,312.9,25.6,4635.5,0.665
VR100156,A00018,2025-02-01T15:12:00Z,2025-02-01 15:12:00,1,TAKEOFF,39,170,734.9,35.0,4992.9,1.953
VR100157,A00005,2025-02-01T15:14:00Z,2025-02-01 15:14:00,1,TAXI,137,23,728.7,25.2,1642.5,2.302
VR100158,A00004,2025-02-01T15:16:00Z,2025-02-01 15:16:00,1,LANDING,339,127,714.2,76.3,3738.7,1.913
VR100159,A00022,2025-02-01T15:18:00Z,2025-02-01 15:18:00,1,TAKEOFF,1165,140,931.6,65.5,1951.5,1.577
VR100160,A00022,2025-02-01T15:20:00Z,2025-02-01 15:20:00,2,LANDING,446,132,673.7,47.2,4970.5,1.492
VR100161,A00011,2025-02-01T15:22:00Z,2025-02-01 15:22:00,2,PARKED,87,0,574.5,85.8,3341.7,2.398
VR100162,A00008,2025-02-01T15:24:00Z,2025-02-01 15:24:00,2,CLIMB,11669,311,914.8,73.7,4158.5,2.265
VR100163,A00006,2025-02-01T15:26:00Z,2025-02-01 15:26:00,1,PARKED,11,0,713.1,83.5,1396.7,2.28
VR100164,A00008,2025-02-01T15:28:00Z,2025-02-01 15:28:00,1,APPROACH,1862,175,552.3,62.5,2504.1,1.226
VR100165,A00017,2025-02-01T15:30:00Z,2025-02-01 15:30:00,2,TAXI,176,10,911.5,76.3,4322.6,1.086
VR100166,A00005,2025-02-01T15:32:00Z,2025-02-01 15:32:00,1,TAXI,188,30,783.2,66.4,890.8,0.819
VR100167,A00015,2025-02-01T15:34:00Z,2025-02-01 15:34:00,1,CLIMB,19466,286,783.9,20.8,1559.0,0.429
VR100168,A00002,2025-02-01T15:36:00Z,2025-02-01 15:36:00,2,TAKEOFF,1265,161,872.4,69.5,4263.8,1.252
VR100169,A00002,2025-02-01T15:38:00Z,2025-02-01 15:38:00,1,CRUISE,62014,274,922.3,55.2,906.5,2.299
VR100170,A00020,2025-02-01T15:40:00Z,2025-02-01 15:40:00,1,PARKED,4,0,358.8,98.6,425.4,0.691
VR100171,A00012,2025-02-01T15:42:00Z,2025-02-01 15:42:00,1,CLIMB,23684,284,388.7,42.7,3256.1,0.417
VR100172,A00005,2025-02-01T15:44:00Z,2025-02-01 15:44:00,1,APPROACH,586,144,785.5,53.6,2095.6,0.228
VR100173,A00004,2025-02-01T15:46:00Z,2025-02-01 15:46:00,1,CLIMB,21064,263,776.5,22.5,1001.0,1.191
VR100174,A00008,2025-02-01T15:48:00Z,2025-02-01 15:48:00,2,APPROACH,1045,160,712.4,52.4,1310.7,2.272
VR100175,A00010,2025-02-01T15:50:00Z,2025-02-01 15:50:00,1,TAKEOFF,1124,170,670.2,39.2,1276.3,2.11
VR100176,A00023,2025-02-01T15:52:00Z,2025-02-01 15:52:00,2,TAKEOFF,1383,143,411.3,85.6,4744.8,1.116
VR100177,A00013,2025-02-01T15:54:00Z,2025-02-01 15:54:00,2,CRUISE,38024,288,740.4,48.9,2910.2,0.258
VR100178,A00010,2025-02-01T15:56:00Z,2025-02-01 15:56:00,1,DESCENT,25715,255,500.3,69.0,3576.7,1.596
VR100179,A00011,2025-02-01T15:58:00Z,2025-02-01 15:58:00,1,TAXI,145,11,363.2,60.8,3346.7,0.315
VR100180,A00021,2025-02-01T16:00:00Z,2025-02-01 16:00:00,2,LANDING,311,131,764.5,26.9,1274.6,2.409
VR100181,A00012,2025-02-01T16:02:00Z,2025-02-01 16:02:00,2,PARKED,10,0,320.6,94.2,217.6,2.415
VR100182,A00013,2025-02-01T16:04:00Z,2025-02-01 16:04:00,1,APPROACH,2766,171,929.0,61.4,3857.9,2.407
VR100183,A00021,2025-02-01T16:06:00Z,2025-02-01 16:06:00,1,PARKED,89,0,674.8,24.6,2618.2,0.333
VR100184,A00019,2025-02-01T16:08:00Z,2025-02-01 16:08:00,1,DESCENT,12892,311,695.1,40.0,1933.3,1.526
VR100185,A00008,2025-02-01T16:10:00Z,2025-02-01 16:10:00,2,TAXI,18,14,643.1,46.2,4564.5,0.537
VR100186,A00021,2025-02-01T16:12:00Z,2025-02-01 16:12:00,2,CRUISE,30760,296,881.4,36.5,1000.1,1.182
VR100187,A00008,2025-02-01T16:14:00Z,2025-02-01 16:14:00,1,CRUISE,37183,267,913.1,86.1,1049.7,0.806
,A00004,2025-02-01T16:16:00Z,2025-02-01 16:16:00,1,CRUISE,38739,275,390.1,90.3,1352.4,1.992
VR100189,A00019,2025-02-01T16:18:00Z,2025-02-01 16:18:00,2,APPROACH,573,152,757.2,65.8,685.3,1.559
VR100190,A00003,2025-02-01T16:20:00Z,2025-02-01 16:20:00,2,TAXI,66,26,303.9,37.2,4233.2,1.092
VR100191,A00007,2025-02-01T16:22:00Z,2025-02-01 16:22:00,2,CLIMB,15798,279,347.4,60.1,943.7,2.15
VR100192,A00015,2025-02-01T16:24:00Z,2025-02-01 16:24:00,1,TAXI,158,8,444.6,61.4,670.0,0.535
VR100193,A00015,2025-02-01T16:26:00Z,2025-02-01 16:26:00,1,DESCENT,3685,294,745.9,94.3,2684.6,1.62
VR100194,A00015,2025-02-01T16:28:00Z,2025-02-01 16:28:00,1,LANDING,46,150,333.0,40.9,2450.2,0.662
VR100195,A00018,2025-02-01T16:30:00Z,2025-02-01 16:30:00,1,LANDING,40,142,698.2,37.3,598.8,0.755
VR100196,A00013,2025-02-01T16:32:00Z,2025-02-01 16:32:00,1,PARKED,8,0,470.3,53.0,4147.5,2.339
VR100197,A00017,2025-02-01T16:34:00Z,2025-02-01 16:34:00,2,PARKED,52,0,415.8,40.3,1056.8,0.713
VR100198,A00016,2025-02-01T16:36:00Z,2025-02-01 16:36:00,1,TAXI,49,6,763.2,82.0,2289.6,0.964
VR100199,A00006,2025-02-01T16:38:00Z,2025-02-01 16:38:00,2,DESCENT,10179,281,452.6,42.7,4233.3,1.493
VR100200,A00014,2025-02-01T16:40:00Z,2025-02-01 16:40:00,1,PARKED,85,0,522.2,31.5,3472.9,2.245
VR100201,A00014,2025-02-01T16:42:00Z,2025-02-01 16:42:00,1,LANDING,393,123,496.7,68.7,1643.4,1.353
VR100202,A00002,2025-02-01T16:44:00Z,2025-02-01 16:44:00,2,DESCENT,28922,257,378.5,26.8,4223.6,0.633
VR100203,A00008,2025-02-01T16:46:00Z,2025-02-01 16:46:00,2,PARKED,11,0,742.1,74.9,1535.0,1.935
VR100204,A00008,2025-02-01T16:48:00Z,2025-02-01 16:48:00,1,PARKED,56,0,477.5,64.3,2326.5,1.619
VR100205,A00018,2025-02-01T16:50:00Z,2025-02-01 16:50:00,2,TAKEOFF,1192,150,675.9,89.2,1060.4,0.866
VR100206,A00011,2025-02-01T16:52:00Z,2025-02-01 16:52:00,2,LANDING,221,142,790.2,75.2,1439.2,0.266
