reading_id,sensor_type,unit,quality_flag,source_system,calibration_version,reading_ts
VR100050,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 11:40:00
VR100051,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 11:42:00
VR100052,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 11:44:00
VR100053,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 11:46:00
VR100054,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 11:48:00
VR100055,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 11:50:00
VR100056,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 11:52:00
VR100057,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS_LEGACY,v1.2,2025-02-01 11:54:00
VR100058,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 11:56:00
VR100059,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 11:58:00
VR100060,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 12:00:00
VR100061,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 12:02:00
VR100062,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 12:04:00
VR100063,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 12:06:00
VR100064,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 12:08:00
VR100065,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 12:10:00
VR100066,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 12:12:00
VR100067,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 12:14:00
VR100068,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 12:16:00
VR100069,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 12:18:00
VR100070,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 12:20:00
VR100071,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 12:22:00
VR100072,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 12:24:00
VR100073,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 12:26:00
VR100074,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 12:28:00
VR100075,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 12:30:00
VR100076,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 12:32:00
VR100077,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 12:34:00
VR100078,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 12:36:00
VR100079,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 12:38:00
VR100080,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 12:40:00
VR100081,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 12:42:00
VR100082,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 12:44:00
VR100083,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 12:46:00
VR100084,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS_LEGACY,v1.2,2025-02-01 12:48:00
VR100085,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 12:50:00
VR100086,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 12:52:00
VR100087,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 12:54:00
VR100088,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 12:56:00
VR100089,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 12:58:00
VR100090,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 13:00:00
VR100091,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 13:02:00
VR100092,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 13:04:00
VR100093,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 13:06:00
VR100094,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,RECORDER_TEST,v1.0,2025-02-01 13:08:00
VR100095,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 13:10:00
VR100096,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 13:12:00
VR100097,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 13:14:00
VR100098,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 13:16:00
VR100099,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 13:18:00
VR100100,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 13:20:00
VR100101,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 13:22:00
VR100102,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 13:24:00
VR100103,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 13:26:00
VR100104,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 13:28:00
VR100105,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 13:30:00
VR100106,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 13:32:00
VR100107,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 13:34:00
VR100108,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 13:36:00
VR100109,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 13:38:00
VR100110,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 13:40:00
VR100111,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 13:42:00
VR100112,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 13:44:00
VR100113,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,RECORDER_TEST,v1.2,2025-02-01 13:46:00
VR100114,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 13:48:00
VR100115,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 13:50:00
VR100116,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 13:52:00
VR100117,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 13:54:00
VR100118,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 13:56:00
VR100119,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 13:58:00
VR100120,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 14:00:00
VR100121,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 14:02:00
VR100122,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS_LEGACY,v1.0,2025-02-01 14:04:00
VR100123,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 14:06:00
VR100124,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 14:08:00
VR100125,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 14:10:00
VR100126,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 14:12:00
VR100127,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 14:14:00
VR100128,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 14:16:00
VR100129,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 14:18:00
VR100130,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 14:20:00
VR100131,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 14:22:00
VR100132,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 14:24:00
VR100133,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 14:26:00
VR100134,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 14:28:00
VR100135,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 14:30:00
VR100136,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 14:32:00
VR100137,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 14:34:00
VR100138,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 14:36:00
VR100139,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 14:38:00
VR100140,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 14:40:00
VR100141,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 14:42:00
VR100142,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 14:44:00
VR100143,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 14:46:00
VR100144,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 14:48:00
VR100145,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 14:50:00
VR100146,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 14:52:00
VR100147,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 14:54:00
VR100148,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 14:56:00
VR100149,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 14:58:00
VR100150,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 15:00:00
VR100151,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 15:02:00
VR100152,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 15:04:00
VR100153,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 15:06:00
VR100154,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 15:08:00
VR100155,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 15:10:00
VR100156,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 15:12:00
VR100157,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 15:14:00
VR100158,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 15:16:00
VR100159,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 15:18:00
VR100160,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 15:20:00
VR100161,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 15:22:00
VR100162,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 15:24:00
VR100163,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 15:26:00
VR100164,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 15:28:00
VR100165,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 15:30:00
VR100166,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 15:32:00
VR100167,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 15:34:00
VR100168,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 15:36:00
VR100169,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 15:38:00
VR100170,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 15:40:00
VR100171,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 15:42:00
VR100172,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 15:44:00
VR100173,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 15:46:00
VR100174,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 15:48:00
VR100175,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 15:50:00
VR100176,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 15:52:00
VR100177,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 15:54:00
VR100178,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 15:56:00
VR100179,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 15:58:00
VR100180,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 16:00:00
VR100181,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 16:02:00
VR100182,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 16:04:00
VR100183,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 16:06:00
VR100184,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 16:08:00
VR100185,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 16:10:00
VR100186,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 16:12:00
VR100187,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 16:14:00
VR100189,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 16:18:00
VR100190,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 16:20:00
VR100191,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 16:22:00
VR100192,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 16:24:00
VR100193,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 16:26:00
VR100194,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 16:28:00
VR100195,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 16:30:00
VR100196,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 16:32:00
VR100197,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 16:34:00
VR100198,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 16:36:00
VR100199,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 16:38:00
VR100200,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 16:40:00
VR100201,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 16:42:00
VR100202,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 16:44:00
VR100203,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 16:46:00
VR100204,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 16:48:00
VR100205,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 16:50:00
VR100206,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 16:52:00
VR100207,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 16:54:00
VR100208,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 16:56:00
VR100209,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 16:58:00
VR100210,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 17:00:00
VR100211,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 17:02:00
VR100212,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 17:04:00
VR100213,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 17:06:00
VR100214,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 17:08:00
VR100215,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 17:10:00
VR100216,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 17:12:00
VR100217,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 17:14:00
VR100218,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 17:16:00
VR100219,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 17:18:00
